university,college
"Acharya Nagarjuna University, Guntur ",S.B.M.S. Degree College
"Acharya Nagarjuna University, Guntur ",S.B.Swamy Sanskrit College
"Acharya Nagarjuna University, Guntur ","S.B.V.S.R College of Education, Cheemakurthi "
"Acharya Nagarjuna University, Guntur ",Seven Hills College of Education
"Acharya Nagarjuna University, Guntur ",S.G.H.R. & M.C.M.R.College
"Acharya Nagarjuna University, Guntur ","S.G.K Govt. Degree College, Vinukonda "
"Acharya Nagarjuna University, Guntur ",S.G.K. Oriental College
"Acharya Nagarjuna University, Guntur ",S.G.T. & J.V.B.College
"Acharya Nagarjuna University, Guntur ",S.G.V. Oriental College
"Acharya Nagarjuna University, Guntur ","Shams-Ul_Uloom College of Education, Markapur "
"Acharya Nagarjuna University, Guntur ","Shams-Ul-Uloom College of Education, Podili "
"Acharya Nagarjuna University, Guntur ",Shivani Degree College
"Acharya Nagarjuna University, Guntur ","Siddhartha Institute of Pharmaceutical Sciences, Jonnalagadda "
"Acharya Nagarjuna University, Guntur ",SIMS College of Education
"Acharya Nagarjuna University, Guntur ","SIMS College of Life Sciences, Guntur "
"Acharya Nagarjuna University, Guntur ",SIMS College of Pharmacy
"Acharya Nagarjuna University, Guntur ",S.K.B.R. Govt. College
"Acharya Nagarjuna University, Guntur ",S.K.R.B.R. College
"Acharya Nagarjuna University, Guntur ",S.K.S.V. Degree College for Women
"Acharya Nagarjuna University, Guntur ",S.L.V. College of Education
"Acharya Nagarjuna University, Guntur ",S.M.P.A. Degree College
"Acharya Nagarjuna University, Guntur ",SMS & SMCMR College of Education
"Acharya Nagarjuna University, Guntur ","Smt. Koonapareddy Prameela Rani Degree College, Parchoor "
"Acharya Nagarjuna University, Guntur ",Smt. Sanagala Prameela Degree College
"Acharya Nagarjuna University, Guntur ",S M Y College of Education
"Acharya Nagarjuna University, Guntur ",S.N.B.T. Degree College for Women
"Acharya Nagarjuna University, Guntur ",S.N.B.T.M. College of Education
"Acharya Nagarjuna University, Guntur ",Sri Chaitanya College of Education
"Acharya Nagarjuna University, Guntur ",Sri C.V. Raman College of Computer Science
"Acharya Nagarjuna University, Guntur ",Sri Gayatri Vidya Parishad Degree College
"Acharya Nagarjuna University, Guntur ","Sri Gowtham College of Education, Darsi "
"Acharya Nagarjuna University, Guntur ","Sri Gowtham Degree College, Kandulapuram "
"Acharya Nagarjuna University, Guntur ","Sri Gowthami Degree College, Darsi "
"Acharya Nagarjuna University, Guntur ","Sri Harsha's Womens Degree College, Cumbum "
"Acharya Nagarjuna University, Guntur ","Sri Harshini Degree College, Martur "
"Acharya Nagarjuna University, Guntur ","Sri Harshini Degree College, Ongole "
"Acharya Nagarjuna University, Guntur ","Sri Jeevana Jyothi Degree College, Giddalur "
"Acharya Nagarjuna University, Guntur ",Sriji Degree College
"Acharya Nagarjuna University, Guntur ","Sri Kakatiya Degree College, Predakurapadu "
"Acharya Nagarjuna University, Guntur ",Sri Kandula Obula Reddy Degree College
"Acharya Nagarjuna University, Guntur ",Sri Karthikeya Degree College - Guntur
"Acharya Nagarjuna University, Guntur ",Sri Mahaveer Memorial Jain Degree College
"Acharya Nagarjuna University, Guntur ",Sri Majeti Guravaiah Degree College
"Acharya Nagarjuna University, Guntur ",Sri Nagarjuna Degree College
"Acharya Nagarjuna University, Guntur ",Sri Potti Sriramulu Degree College
"Acharya Nagarjuna University, Guntur ",Sri Prasannanjaneya Degree College
"Acharya Nagarjuna University, Guntur ",Sri Prathidba Degree College
"Acharya Nagarjuna University, Guntur ","Sri Pratibha Degree College, Ongole "
"Acharya Nagarjuna University, Guntur ","Sri Raja Rajeswari College of Education, Giddalur "
"Acharya Nagarjuna University, Guntur ",Sri Rama Krishna Degree College
